source,project,mww test (p value): pr lifetime,mww test (p value): merge time,cliff delta (magnitude): pr lifetime,mww test (p value): delivery delay,cliff delta (estimate): delivery delay,cliff delta (magnitude): merge time,cliff delta (magnitude): delivery delay,cliff delta (estimate): pr lifetime,cliff delta (estimate): merge time
author_file,saltstack/salt,,"1,78E-047",small,"1,2E-016","-0,226",medium,small,"-0,22","0,395"
your_file,scikit-image/scikit-image,0.0,0.0033804044,large,0.0,0.5460740693,negligible,large,0.5182781295,0.1281568778
author_file,scikit-image/scikit-image,,"0,0017729402",large,"5,31E-039","0,571",negligible,large,"0,571","0,137"
your_file,scikit-learn/scikit-learn,0.0,0.0053382318,large,0.0,0.5488900024,negligible,large,0.5557202769,0.0987551643
author_file,scikit-learn/scikit-learn,,"0,0101209601",large,"2,12E-062","0,591",negligible,large,"0,604","0,091"
your_file,scipy/scipy,1.1481e-06,0.0501614828,small,1.108e-07,-0.1963972298,negligible,small,-0.1799807195,-0.0724682477
author_file,scipy/scipy,,"0,0406434696",small,"6,66E-008","-0,2",negligible,small,"-0,187","-0,076"
your_file,sensu/sensu,0.0,0.0,medium,0.0,0.3980815569,medium,medium,0.4412880711,0.3427809116
author_file,sensu/sensu,,"7,84E-014",medium,"5,25E-018","0,402",medium,medium,"0,448","0,345"
your_file,serverless/serverless,0.0,0.0001482381,small,1e-10,0.2806302926,small,small,0.2827169757,0.1632186372
author_file,serverless/serverless,,"0,0000417",small,"1,36E-009","0,261",small,small,"0,276","0,176"
your_file,siacs/conversations,0.4068730322,0.0813577353,negligible,0.8783472807,-0.0103594346,negligible,negligible,0.0559493352,0.1175187686
author_file,siacs/conversations,,"0,0771025283",negligible,"0,9049068847","-0,008",negligible,negligible,"0,045","0,119"
your_file,spinnaker/spinnaker,0.0035406719,1.171e-07,small,5.92909e-05,-0.2446040994,small,small,-0.1777402119,0.3225465632
author_file,spinnaker/spinnaker,,"2,99E-008",small,"0,0000384","-0,251",medium,small,"-0,187","0,337"
your_file,square/picasso,0.0635744651,0.5779794744,negligible,0.0260153789,0.1718577075,negligible,small,0.1432411067,-0.0430039526
author_file,square/picasso,,"0,6692020705",negligible,"0,0488513664","0,152",negligible,small,"0,133","-0,033"
your_file,sympy/sympy,0.0,0.0006850402,small,0.0,-0.3118446992,negligible,small,-0.3041828039,0.0807094041
author_file,sympy/sympy,,"0,0000752",small,"2,28E-040","-0,316",negligible,small,"-0,309","0,094"
your_file,telescopejs/telescope,0.0264876871,9e-10,small,0.0036489947,-0.1953991635,medium,small,-0.1491634843,0.4121203855
author_file,telescopejs/telescope,,"6,41E-011",negligible,"0,0063379833","-0,183",medium,small,"-0,112","0,439"
your_file,theano/theano,0.0632187612,0.0,negligible,0.0100709683,-0.0689814304,medium,negligible,-0.0497959134,0.3440618229
author_file,theano/theano,,"1,57E-037",negligible,"0,0026996461","-0,08",medium,negligible,"-0,068","0,343"
your_file,tryghost/ghost,1.78e-08,0.0,small,0.000182822,0.1329133743,small,negligible,0.2000602742,0.2641523025
author_file,tryghost/ghost,,"6,19E-013",small,"0,000182461","0,133",small,negligible,"0,188","0,256"
your_file,twbs/bootstrap,0.0,0.620335323,medium,0.0,0.3875922445,negligible,medium,0.427744709,0.0263549499
author_file,twbs/bootstrap,,"0,5705818769",medium,"9,97E-013","0,379",negligible,medium,"0,419","0,03"
your_file,vanilla/vanilla,0.0,4e-10,large,0.0,-0.4410696212,medium,medium,-0.6211140833,-0.3613631434
author_file,vanilla/vanilla,,"5,21E-011",large,"2,61E-015","-0,455",medium,medium,"-0,661","-0,378"
your_file,woocommerce/woocommerce,0.0154515386,2.64e-08,negligible,0.0420812813,-0.0472675606,negligible,negligible,-0.0563107723,-0.1293819089
author_file,woocommerce/woocommerce,,"9,83E-009",negligible,"0,0292372824","-0,051",negligible,negligible,"-0,054","-0,133"
your_file,yelp/mrjob,0.1608313281,0.0287876856,negligible,0.1103222966,0.0904588113,negligible,negligible,0.0794447341,-0.123848627
author_file,yelp/mrjob,,"0,0317118327",negligible,"0,1292751657","0,086",negligible,negligible,"0,067","-0,122"
your_file,yiisoft/yii,0.779236833,0.3836933801,negligible,0.7114076115,-0.0194938728,negligible,negligible,-0.0147725365,0.0458808964
author_file,yiisoft/yii,,"0,4607482591",negligible,"0,6679685232","-0,023",negligible,negligible,"-0,028","0,039"
your_file,zurb/foundation-sites,0.0,4.1e-09,small,0.0,0.2837202038,small,small,0.291803467,0.1844125677
author_file,zurb/foundation-sites,,"2,46E-009",small,"4,75E-020","0,288",small,small,"0,306","0,187"
