project,cliff delta (magnitude): delivery delay: your,cliff delta (magnitude): delivery delay: author,cliff delta (magnitude): delivery delay: result,cliff delta (estimate): delivery delay: your,cliff delta (estimate): delivery delay: author,cliff delta (estimate): delivery delay: result,mww test (p value): delivery delay: your,mww test (p value): delivery delay: author,mww test (p value): delivery delay: result,cliff delta (magnitude): merge time: your,cliff delta (magnitude): merge time: author,cliff delta (magnitude): merge time: result,cliff delta (estimate): merge time: your,cliff delta (estimate): merge time: author,cliff delta (estimate): merge time: result,mww test (p value): merge time: your,mww test (p value): merge time: author,mww test (p value): merge time: result,cliff delta (magnitude): pr lifetime: your,cliff delta (magnitude): pr lifetime: author,cliff delta (magnitude): pr lifetime: result,cliff delta (estimate): pr lifetime: your,cliff delta (estimate): pr lifetime: author,cliff delta (estimate): pr lifetime: result,mww test (p value): pr lifetime: author,mww test (p value): pr lifetime: your,mww test (p value): pr lifetime: result
serverless/serverless,,,missing,0.2806302926,0.261,different,1e-10,1.36e-09,close,,,missing,0.1632186372,0.176,different,0.0001482381,4.17e-05,different,,,missing,0.2827169757,0.276,close,missing,0.0,missing
siacs/conversations,,,missing,-0.0103594346,-0.008,different,0.8783472807,0.9049068847,close,,,missing,0.1175187686,0.119,close,0.0813577353,0.0771025283,different,,,missing,0.0559493352,0.045,different,missing,0.4068730322,missing
spinnaker/spinnaker,,,missing,-0.2446040994,-0.251,close,5.92909e-05,3.84e-05,different,,,missing,0.3225465632,0.337,close,1.171e-07,2.99e-08,different,,,missing,-0.1777402119,-0.187,close,missing,0.0035406719,missing
square/picasso,,,missing,0.1718577075,0.152,different,0.0260153789,0.0488513664,different,,,missing,-0.0430039526,-0.033,different,0.5779794744,0.6692020705,different,,,missing,0.1432411067,0.133,different,missing,0.0635744651,missing
sympy/sympy,,,missing,-0.3118446992,-0.316,close,0.0,2.2799999999999998e-40,close,,,missing,0.0807094041,0.094,different,0.0006850402,7.52e-05,different,,,missing,-0.3041828039,-0.309,close,missing,0.0,missing
telescopejs/telescope,,,missing,-0.1953991635,-0.183,different,0.0036489947,0.0063379833,different,,,missing,0.4121203855,0.439,different,9e-10,6.41e-11,close,,,missing,-0.1491634843,-0.112,different,missing,0.0264876871,missing
theano/theano,,,missing,-0.0689814304,-0.08,different,0.0100709683,0.0026996461,different,,,missing,0.3440618229,0.343,close,0.0,1.5700000000000002e-37,close,,,missing,-0.0497959134,-0.068,different,missing,0.0632187612,missing
tryghost/ghost,,,missing,0.1329133743,0.133,close,0.000182822,0.000182461,close,,,missing,0.2641523025,0.256,close,0.0,6.19e-13,close,,,missing,0.2000602742,0.188,different,missing,1.78e-08,missing
twbs/bootstrap,,,missing,0.3875922445,0.379,close,0.0,9.97e-13,close,,,missing,0.0263549499,0.03,different,0.620335323,0.5705818769,different,,,missing,0.427744709,0.419,close,missing,0.0,missing
vanilla/vanilla,,,missing,-0.4410696212,-0.455,close,0.0,2.61e-15,close,,,missing,-0.3613631434,-0.378,close,4e-10,5.21e-11,close,,,missing,-0.6211140833,-0.661,different,missing,0.0,missing
woocommerce/woocommerce,,,missing,-0.0472675606,-0.051,different,0.0420812813,0.0292372824,different,,,missing,-0.1293819089,-0.133,close,2.64e-08,9.83e-09,different,,,missing,-0.0563107723,-0.054,close,missing,0.0154515386,missing
yelp/mrjob,,,missing,0.0904588113,0.086,different,0.1103222966,0.1292751657,different,,,missing,-0.123848627,-0.122,close,0.0287876856,0.0317118327,different,,,missing,0.0794447341,0.067,different,missing,0.1608313281,missing
yiisoft/yii,,,missing,-0.0194938728,-0.023,different,0.7114076115,0.6679685232,different,,,missing,0.0458808964,0.039,different,0.3836933801,0.4607482591,different,,,missing,-0.0147725365,-0.028,different,missing,0.779236833,missing
zurb/foundation-sites,,,missing,0.2837202038,0.288,close,0.0,4.75e-20,close,,,missing,0.1844125677,0.187,close,4.1e-09,2.46e-09,close,,,missing,0.291803467,0.306,close,missing,0.0,missing
